Broadbeach Waters (Gold Coast City),23,0,0,0,3,0,0
Broadbeach (Gold Coast City),11,0,0,0,0,0,0
Bundall (Gold Coast City),8,0,0,0,3,0,0
Burleigh Heads (Gold Coast City),12,0,0,0,3,0,0
Burleigh Waters (Gold Coast City),31,0,0,0,0,0,3
Carrara (Gold Coast City),27,0,0,0,0,0,3
Clear Island Waters (Gold Coast City),13,0,0,0,0,0,0
Coolangatta (Gold Coast City),20,0,0,0,0,0,0
Coombabah (Gold Coast City),26,0,0,0,0,0,0
Coomera (Gold Coast City),6,0,0,0,0,0,0
Currumbin Waters (Gold Coast City),28,0,0,0,0,0,0
Currumbin (Gold Coast City),3,0,0,0,0,0,0
Elanora (Gold Coast City),31,0,0,0,0,0,0
Helensvale (Gold Coast City),36,0,0,0,4,0,5
Highland Park (Gold Coast City),19,0,0,0,3,0,0
Hollywell (Gold Coast City),5,0,0,0,3,0,3
Hope Island (Gold Coast City),12,0,0,0,0,0,0
Labrador (Gold Coast City),54,0,0,0,3,0,3
Main Beach (Gold Coast City),8,0,0,0,0,0,0
Mermaid Beach (Gold Coast City),11,0,0,0,0,0,4
Mermaid Waters (Gold Coast City),36,0,0,0,0,0,3
Merrimac (Gold Coast City),15,0,0,0,0,0,0
Miami (Gold Coast City),14,0,0,0,0,0,0
Molendinar (Gold Coast City),21,0,0,0,0,0,0
Mudgeeraba (Gold Coast City),19,0,0,0,0,0,3
Nerang (Gold Coast City),61,0,0,0,6,0,0
Oxenford (Gold Coast City),27,0,0,0,3,0,3
Pacific Pines (Gold Coast City),18,0,0,0,0,0,0
Palm Beach (Gold Coast City),36,0,0,0,0,0,3
Paradise Point (Gold Coast City),13,0,0,0,0,0,0
Parkwood (Gold Coast City),24,0,0,0,0,0,0
Reedy Creek (Gold Coast City),19,0,0,0,0,0,0
Robina (Gold Coast City),42,0,0,0,0,0,3
Runaway Bay (Gold Coast City),20,0,0,0,3,0,0
Southport (Gold Coast City),72,0,0,0,3,0,5
Surfers Paradise (Gold Coast City),60,0,0,0,0,0,3
Tallai (Gold Coast City),4,0,0,0,0,0,0
Tallebudgera Valley (Gold Coast City),3,0,0,0,0,0,0
Tallebudgera (Gold Coast City),4,0,0,0,0,0,0
Tugun (Gold Coast City),16,0,0,0,0,0,3
Upper Coomera (Gold Coast City),24,0,0,0,0,0,0
Varsity Lakes (Gold Coast City),30,0,0,0,0,0,0
Worongary (Gold Coast City),16,0,0,0,0,0,0
Alexandra Headland (Maroochy Shire),8,0,0,0,0,0,0
Aroona (Caloundra City),4,0,0,0,0,0,0
Battery Hill (Caloundra City),4,0,0,0,0,0,3
Bli Bli (Maroochy Shire),14,0,0,0,0,0,3
Bokarina (Caloundra City),4,0,0,0,0,0,0
Buddina (Caloundra City),11,0,0,0,0,0,0
Buderim (Maroochy Shire),50,0,0,0,0,0,3
Caloundra West (Caloundra City),4,0,0,0,0,0,0
Caloundra (Caloundra City),11,0,0,0,0,0,0
Castaways Beach (Noosa Shire),0,0,0,0,0,0,0
Coolum Beach (Maroochy Shire),22,0,0,0,3,0,0
Currimundi (Caloundra City),12,0,0,0,0,0,3
Dicky Beach (Caloundra City),4,0,0,0,0,0,0
Golden Beach (Caloundra City),11,0,0,0,0,0,0
Kings Beach (Caloundra City),6,0,0,0,0,0,3
Kuluin (Maroochy Shire),10,0,0,0,0,0,0
Kunda Park (Maroochy Shire),0,0,0,0,0,0,0
Little Mountain (Caloundra City),15,0,0,0,0,0,5
Marcoola (Maroochy Shire),9,0,0,0,0,0,0
Marcus Beach (Noosa Shire),0,0,0,0,0,0,0
Maroochydore (Maroochy Shire),52,0,0,0,0,0,0
Minyama (Caloundra City),3,0,0,0,0,0,0
Moffat Beach (Caloundra City),4,0,0,0,0,0,0
Mons (Maroochy Shire),5,0,0,0,0,0,0
Mooloolaba (Maroochy Shire),12,0,0,0,0,0,4
Mount Coolum (Maroochy Shire),4,0,5,0,0,0,3
Mountain Creek (Maroochy Shire),19,0,0,0,3,0,0
Mudjimba (Maroochy Shire),0,0,0,0,0,0,0
Noosa Heads (Noosa Shire),8,0,0,0,0,0,0
Noosaville (Noosa Shire),14,0,0,0,0,0,0
Pacific Paradise (Maroochy Shire),6,0,0,0,0,0,0
Parrearra (Caloundra City),4,0,0,0,0,0,0
Pelican Waters (Caloundra City),3,0,0,0,0,0,0
Peregian Beach (Maroochy Shire),0,0,0,0,0,0,0
Peregian Beach (Noosa Shire),0,0,0,0,0,0,0
Point Arkwright (Maroochy Shire),0,0,0,0,0,0,0
Shelly Beach (Caloundra City),0,0,0,0,0,0,0
Sippy Downs (Maroochy Shire),6,0,0,0,0,0,3
Sunrise Beach (Noosa Shire),8,0,0,0,0,0,0
Sunshine Beach (Noosa Shire),8,0,0,0,0,0,0
Tanawha (Maroochy Shire),3,0,0,0,0,0,0
Tewantin (Noosa Shire),21,0,0,0,3,0,0
Twin Waters (Maroochy Shire),4,0,0,0,0,0,0
Warana (Caloundra City),0,0,0,0,5,0,0
Wurtulla (Caloundra City),14,0,0,0,0,0,0
Yaroomba (Maroochy Shire),0,0,0,0,0,0,0
Aitkenvale (Townsville City),11,0,0,0,0,0,0
Annandale (Townsville City),30,0,0,0,0,0,0
Belgian Gardens (Townsville City),3,0,0,0,0,0,0
Castle Hill (Townsville City),0,0,0,0,0,0,0
Cluden (Townsville City),3,0,0,0,0,0,0
Condon (Thuringowa City),17,0,0,0,0,0,3
Cranbrook (Townsville City),16,0,0,0,0,0,0
Currajong (Townsville City),8,0,0,0,0,0,0
Douglas (Townsville City),11,0,0,0,3,0,3
Garbutt (Townsville City),8,0,0,0,0,0,0
Gulliver (Townsville City),6,0,0,0,0,0,0
Heatley (Townsville City),12,0,0,0,0,0,0
Hermit Park (Townsville City),12,0,0,0,0,0,0
Hyde Park (Townsville City),3,0,0,0,0,0,0
Idalia (Townsville City),3,0,0,0,0,0,0
Kelso (Thuringowa City),21,0,0,0,0,0,0
Kirwan (Thuringowa City),54,0,0,0,3,0,4
Mount Louisa (Townsville City),9,0,0,0,0,0,0
Mount Stuart (Townsville City),3,0,0,0,3,0,0
Mundingburra (Townsville City),8,0,0,0,0,0,0
Mysterton (Townsville City),5,0,0,0,0,0,0
North Ward (Townsville City),11,0,0,0,4,0,0
Oonoonba (Townsville City),8,0,0,0,3,0,0
Pimlico (Townsville City),6,0,0,0,0,0,0
Railway Estate (Townsville City),5,0,0,0,3,0,0
Rasmussen (Thuringowa City),15,0,0,0,0,0,0
Rosslea (Townsville City),3,0,0,0,0,0,3
Rowes Bay (Townsville City),0,0,0,0,0,0,0
South Townsville (Townsville City),4,0,0,0,0,0,0
Stuart (Townsville City),0,0,0,0,0,0,0
Thuringowa Central (Thuringowa City),4,0,0,0,0,0,0
Townsville City (Townsville City),3,0,0,0,0,0,0
Vincent (Townsville City),7,0,0,0,0,0,0
West End (Townsville City),3,0,0,0,4,0,3
Wulguru (Townsville City),14,0,0,0,4,0,0
Abbeywood (Wondai Shire),0,0,0,0,0,0,0
Abercorn (Eidsvold Shire),0,0,0,0,0,0,0
Abergowrie (Hinchinbrook Shire),4,0,0,0,0,0,0
Acland (Rosalie Shire),0,0,0,0,0,0,0
Adare (Gatton Shire),0,0,0,0,0,0,0
Adavale (Quilpie Shire),0,0,0,0,0,0,0
Adelaide Park (Livingstone Shire),0,0,0,0,0,0,0
Advancetown (Gold Coast City),0,0,0,0,0,0,0
Aeroglen (Cairns City),0,0,0,0,0,0,0
Agnes Water (Miriam Vale Shire),3,0,0,0,0,0,0
Airdmillan (Burdekin Shire),0,0,0,0,0,0,0
Airlie Beach (Whitsunday Shire),0,0,0,0,0,0,0
Airville (Burdekin Shire),0,0,0,0,0,0,0
Alberta (Banana Shire),0,0,0,0,0,0,0
Alberton (Gold Coast City),5,0,0,0,0,0,0
Albion (Richmond Shire),0,0,0,0,0,0,0
Aldershot (Hervey Bay City),4,0,0,0,0,0,0
Aldershot (Maryborough City),0,0,0,0,0,0,0
Alice Creek (Kingaroy Shire),0,0,0,0,0,0,0
Alice River (Thuringowa City),5,0,0,0,0,0,0
Allenstown (Rockhampton City),3,0,0,0,0,0,0
Alligator Creek (Sarina Shire),0,0,0,0,0,0,0
Alligator Creek (Townsville City),11,0,0,0,0,0,0
Allora (Warwick Shire),0,0,0,0,0,0,0
Alloway (Burnett Shire),0,0,0,0,0,0,0
Aloomba (Cairns City),0,0,0,0,0,0,0
Alpha (Jericho Shire),0,0,0,0,0,0,0
Alton Downs (Fitzroy Shire),7,0,0,0,0,0,0
Alva (Burdekin Shire),0,0,0,0,3,0,0
Amamoor (Cooloola Shire),3,0,0,0,0,0,0
Ambrose (Calliope Shire),0,0,0,0,0,0,0
Amiens (Stanthorpe Shire),0,0,7,0,0,0,0
Amity (Redland Shire),0,0,0,0,0,0,0
Andergrove (Mackay City),13,0,0,0,3,0,0
Anderleigh (Tiaro Shire),0,0,0,0,0,0,0
Anstead (Brisbane City - Bal),3,0,0,0,0,0,0
Apple Tree Creek (Isis Shire),0,0,0,0,0,0,0
Applethorpe (Stanthorpe Shire),4,0,0,0,0,0,0
Araluen (Cooloola Shire),4,0,0,0,0,0,0
Aramac (Aramac Shire),3,0,0,0,0,0,0
Aratula (Boonah Shire),0,0,0,0,0,0,0
Arbouin (Mareeba Shire),0,0,0,0,0,0,0
Arcadia Valley (Bauhinia Shire),3,0,0,0,0,0,0
Arcadia (Townsville City),0,0,0,0,0,0,0
Arcturus (Bauhinia Shire),0,0,0,0,0,0,0
Armstrong Beach (Sarina Shire),4,0,0,0,0,0,0
Arriga (Mareeba Shire),5,0,0,0,0,0,0
Ascot (Cambooya Shire),0,0,0,0,0,0,0
Atherton (Atherton Shire),24,0,5,0,0,0,5
Aubigny (Jondaryan Shire),6,0,0,0,0,0,0
Augathella (Murweh Shire),0,0,0,0,3,0,0
Augustine Heights (Ipswich City),0,0,0,0,0,0,0
Aurukun (Aurukun Shire),0,0,0,0,0,0,0
Austinville (Gold Coast City),3,0,0,0,0,0,0
Avenell Heights (Bundaberg City),13,0,0,0,0,0,0
Avoca (Bundaberg City),9,0,0,0,0,0,3
Avondale (Burnett Shire),8,0,0,0,0,0,0
Ayr (Burdekin Shire),15,0,5,0,4,0,0
Babinda (Cairns City),4,0,0,0,0,0,0
Back Plains (Clifton Shire),0,0,0,0,0,0,0
Badu Island (Badu Island),3,0,0,0,0,0,0
Bahrs Scrub (Gold Coast City),3,0,0,0,0,0,0
Bajool (Fitzroy Shire),0,0,0,0,0,0,0
Bakers Bend (Murweh Shire),0,0,0,0,0,0,0
Bakers Creek (Mackay City),4,0,0,0,0,0,0
Baking Board (Chinchilla Shire),0,0,0,0,0,0,0
Balberra (Mackay City),3,0,0,0,0,0,0
Balgal Beach (Thuringowa City),0,0,0,0,0,0,0
Ball Bay (Mackay City),5,0,0,0,0,0,0
Ballandean (Stanthorpe Shire),0,0,0,0,0,0,0
Ballard (Gatton Shire),4,0,0,0,0,0,0
